Date,SalesRep,Product,Quantity,Revenue
2024-05-01,Charlie,Gadget,8,947
2024-05-02,Alice,Doohickey,2,855
2024-05-03,Bob,Gadget,2,339
2024-05-04,Alice,Doohickey,6,919
2024-05-05,Charlie,Widget,5,118
2024-05-06,Charlie,Doohickey,5,243
2024-05-07,Alice,Doohickey,5,210
2024-05-08,Alice,Widget,6,522
2024-05-09,Charlie,Widget,2,360
2024-05-10,Bob,Doohickey,9,853
2024-05-11,Charlie,Gadget,7,492
2024-05-12,Charlie,Gadget,3,491
2024-05-13,Charlie,Gadget,6,118
2024-05-14,Alice,Doohickey,2,609
2024-05-15,Charlie,Doohickey,1,823
2024-05-16,Charlie,Widget,9,819
2024-05-17,Alice,Widget,7,615
2024-05-18,Alice,Widget,7,303
2024-05-19,Charlie,Gadget,3,621
2024-05-20,Bob,Gadget,6,410
